"","chunk_id","sentence_id","group","start","end","duration","transcript","question_mark","elipses","nwords","duration_seconds","words_per_second","word_present_maybe","word_present_sort_of","word_present_unsure","word_present_dont_know","word_present_confused","word_present_possibly","liwc_certitude","chunk_sum_turn_duration","chunk_mean_turn_duration","chunk_count_duration","chunk_median_turn_duration","chunk_sd_turn_duration","pd_chunk_sum_pitch","pd_chunk_mean_pitch","pd_chunk_median_pitch","pd_chunk_sd_pitch","pd_chunk_sum_loudness","pd_chunk_mean_loudness","pd_chunk_median_loudness","pd_chunk_sd_loudness"
"1","(6.44e+03,6.47e+03]",2151,"orange",01:47:19,01:47:20,1,"No, it's not.",FALSE,FALSE,3,1,2.59199999999855,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1.75,0.583333333333333,3,0.359863000000587,0.597401784245952,87135.6581500001,87.0486095404596,0,117.978661593568,391.40314338,0.391012131248751,0.3622867,0.16936078330661
"2","(6.44e+03,6.47e+03]",2152,"orange",01:47:20,01:47:24,4,"And I attribute it mostly to the fact that it's just a little bit of a mess.",FALSE,FALSE,17,4,3.67200000000016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1.75,0.583333333333333,3,0.359863000000587,0.597401784245952,87135.6581500001,87.0486095404596,0,117.978661593568,391.40314338,0.391012131248751,0.3622867,0.16936078330661
"3","(6.44e+03,6.47e+03]",2153,"orange",01:47:24,01:47:25,1,"It's so tiny.",FALSE,FALSE,3,1,2.59200000000166,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1.75,0.583333333333333,3,0.359863000000587,0.597401784245952,87135.6581500001,87.0486095404596,0,117.978661593568,391.40314338,0.391012131248751,0.3622867,0.16936078330661
"4","(6.44e+03,6.47e+03]",2154,"orange",01:47:25,01:47:28,3,"I always have to pick things up.",FALSE,FALSE,7,3,2.01599999999968,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1.75,0.583333333333333,3,0.359863000000587,0.597401784245952,87135.6581500001,87.0486095404596,0,117.978661593568,391.40314338,0.391012131248751,0.3622867,0.16936078330661
"5","(6.41e+03,6.44e+03]",2142,"orange",01:46:54,01:46:59,5,"If it's all co-ed secants and that bullshit is smooth, then probably not.",FALSE,FALSE,13,5,2.24640000000036,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.5190439999969,0.844940249999809,16,0.63989249999986,0.665464930846971,231638.48594,77.2128286466666,0,110.432546864249,1103.14306511,0.367714355036667,0.33668125,0.170297175489811
"6","(6.41e+03,6.44e+03]",2143,"orange",01:46:59,01:47:01,2,"It's so smooth either way.",FALSE,FALSE,5,2,2.15999999999879,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.5190439999969,0.844940249999809,16,0.63989249999986,0.665464930846971,231638.48594,77.2128286466666,0,110.432546864249,1103.14306511,0.367714355036667,0.33668125,0.170297175489811
"7","(6.41e+03,6.44e+03]",2144,"orange",01:47:01,01:47:03,2,"It's probably just going to be a small portion of it.",FALSE,FALSE,11,2,4.7520000000002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.5190439999969,0.844940249999809,16,0.63989249999986,0.665464930846971,231638.48594,77.2128286466666,0,110.432546864249,1103.14306511,0.367714355036667,0.33668125,0.170297175489811
"8","(6.41e+03,6.44e+03]",2145,"orange",01:47:06,01:47:11,5,"If you're lucky, it should mostly be stuffed this year.",FALSE,FALSE,10,5,1.72799999999986,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.5190439999969,0.844940249999809,16,0.63989249999986,0.665464930846971,231638.48594,77.2128286466666,0,110.432546864249,1103.14306511,0.367714355036667,0.33668125,0.170297175489811
"9","(6.41e+03,6.44e+03]",2146,"orange",01:47:11,01:47:12,1,"See you later, Jim.",FALSE,FALSE,4,1,3.45600000000222,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.5190439999969,0.844940249999809,16,0.63989249999986,0.665464930846971,231638.48594,77.2128286466666,0,110.432546864249,1103.14306511,0.367714355036667,0.33668125,0.170297175489811
"10","(6.41e+03,6.44e+03]",2147,"orange",01:47:12,01:47:15,3,"It should mostly be stuffed this year.",FALSE,FALSE,7,3,2.01599999999968,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.5190439999969,0.844940249999809,16,0.63989249999986,0.665464930846971,231638.48594,77.2128286466666,0,110.432546864249,1103.14306511,0.367714355036667,0.33668125,0.170297175489811
"11","(6.41e+03,6.44e+03]",2148,"orange",01:47:15,01:47:16,1,"Alright.",FALSE,FALSE,1,1,0.863999999999519,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.5190439999969,0.844940249999809,16,0.63989249999986,0.665464930846971,231638.48594,77.2128286466666,0,110.432546864249,1103.14306511,0.367714355036667,0.33668125,0.170297175489811
"12","(6.41e+03,6.44e+03]",2149,"orange",01:47:16,01:47:17,1,"We never do that.",FALSE,FALSE,4,1,3.45600000000222,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.5190439999969,0.844940249999809,16,0.63989249999986,0.665464930846971,231638.48594,77.2128286466666,0,110.432546864249,1103.14306511,0.367714355036667,0.33668125,0.170297175489811
"13","(6.41e+03,6.44e+03]",2150,"orange",01:47:17,01:47:19,2,"This year isn't as bad as last year.",FALSE,FALSE,8,2,3.45600000000015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.5190439999969,0.844940249999809,16,0.63989249999986,0.665464930846971,231638.48594,77.2128286466666,0,110.432546864249,1103.14306511,0.367714355036667,0.33668125,0.170297175489811
"14","(6.38e+03,6.41e+03]",2123,"orange",01:46:20,01:46:21,1,"I remember doing it.",FALSE,FALSE,4,1,3.45600000000222,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,16.3598630000015,0.86104542105271,19,0.39990300000045,0.982007592557965,261787.95543,87.26265181,0,114.356815249124,872.052861259999,0.290684287086667,0.26018295,0.145741715033583
"15","(6.38e+03,6.41e+03]",2124,"orange",01:46:21,01:46:22,1,"I haven't seen any of those.",FALSE,FALSE,6,1,5.18399999999711,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,16.3598630000015,0.86104542105271,19,0.39990300000045,0.982007592557965,261787.95543,87.26265181,0,114.356815249124,872.052861259999,0.290684287086667,0.26018295,0.145741715033583
