chunk_id,sentence_id,group,start,end,duration,transcript,question_mark,elipses,nwords,duration_seconds,words_per_second,word_present_maybe,word_present_sort_of,word_present_unsure,word_present_dont_know,word_present_confused,word_present_possibly,liwc_certitude,chunk_sum_turn_duration,chunk_mean_turn_duration,chunk_count_duration,chunk_median_turn_duration,chunk_sd_turn_duration,pd_chunk_sum_pitch,pd_chunk_mean_pitch,pd_chunk_median_pitch,pd_chunk_sd_pitch,pd_chunk_sum_loudness,pd_chunk_mean_loudness,pd_chunk_median_loudness,pd_chunk_sd_loudness
"(198,228]",1,orange,00:03:18,00:03:20,2,"It's table 6, right?",TRUE,FALSE,4,2,1.72800000000001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4.719955000000027,0.42908681818182065,11,0.20999199999999973,0.5331297222621924,295882.0847100003,98.62736156999992,0,145.93706813448958,799.4137174800002,0.26647123916000004,0.251068,0.11580231341975616
"(198,228]",2,orange,00:03:20,00:03:21,1,I think so.,FALSE,FALSE,3,1,2.59200000000001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4.719955000000027,0.42908681818182065,11,0.20999199999999973,0.5331297222621924,295882.0847100003,98.62736156999992,0,145.93706813448958,799.4137174800002,0.26647123916000004,0.251068,0.11580231341975616
"(198,228]",3,orange,00:03:28,00:03:30,2,Always go with basic assumptions.,FALSE,FALSE,5,2,2.16000000000001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4.719955000000027,0.42908681818182065,11,0.20999199999999973,0.5331297222621924,295882.0847100003,98.62736156999992,0,145.93706813448958,799.4137174800002,0.26647123916000004,0.251068,0.11580231341975616
"(198,228]",4,orange,00:03:34,00:03:38,4,"Unless it's about someone in that case, don't.",FALSE,FALSE,8,4,1.72800000000001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4.719955000000027,0.42908681818182065,11,0.20999199999999973,0.5331297222621924,295882.0847100003,98.62736156999992,0,145.93706813448958,799.4137174800002,0.26647123916000004,0.251068,0.11580231341975616
"(228,258]",5,orange,00:03:49,00:03:50,1,Henry.,FALSE,FALSE,1,1,0.864000000000005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.349990000000048,1.0269223076923113,13,0.7100070000000187,0.9514062496224844,186298.03383999996,62.09934461333327,0,111.5217443707767,678.789997390002,0.22626333246333333,0.20093070000000002,0.11676730215609903
"(228,258]",6,orange,00:03:58,00:03:59,1,Yes.,FALSE,FALSE,1,1,0.863999999999972,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.349990000000048,1.0269223076923113,13,0.7100070000000187,0.9514062496224844,186298.03383999996,62.09934461333327,0,111.5217443707767,678.789997390002,0.22626333246333333,0.20093070000000002,0.11676730215609903
"(228,258]",7,orange,00:04:02,00:04:04,2,I've been sitting with you.,FALSE,FALSE,5,2,2.16000000000001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.349990000000048,1.0269223076923113,13,0.7100070000000187,0.9514062496224844,186298.03383999996,62.09934461333327,0,111.5217443707767,678.789997390002,0.22626333246333333,0.20093070000000002,0.11676730215609903
"(228,258]",8,orange,00:04:04,00:04:06,2,Don't like it because we're right in front of Ms. Ronkel.,FALSE,FALSE,11,2,4.75199999999993,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.349990000000048,1.0269223076923113,13,0.7100070000000187,0.9514062496224844,186298.03383999996,62.09934461333327,0,111.5217443707767,678.789997390002,0.22626333246333333,0.20093070000000002,0.11676730215609903
"(228,258]",9,orange,00:04:08,00:04:10,2,But it's okay. You can live with it.,FALSE,FALSE,8,2,3.45600000000002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.349990000000048,1.0269223076923113,13,0.7100070000000187,0.9514062496224844,186298.03383999996,62.09934461333327,0,111.5217443707767,678.789997390002,0.22626333246333333,0.20093070000000002,0.11676730215609903
"(228,258]",10,orange,00:04:13,00:04:15,2,Did you... did you do the search?,TRUE,TRUE,7,2,3.02400000000001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.349990000000048,1.0269223076923113,13,0.7100070000000187,0.9514062496224844,186298.03383999996,62.09934461333327,0,111.5217443707767,678.789997390002,0.22626333246333333,0.20093070000000002,0.11676730215609903
